Pregunta,Muy de acuerdo significa,Eje
"Considero que, para frenar la ola de extorsiones y sicariato, el gobierno debería tener la facultad de suspender libertades (ejemplos) por tiempo indefinido.",Conservador,Liberal-Conservador
Considero que el matrimonio o unión civil entre personas del mismo sexo debería ser reconocido plenamente por la ley.,Liberal,Liberal-Conservador
Considero que las leyes y políticas públicas deben realizarse sin influencia de creencias religiosas o la Iglesia,Liberal,Liberal-Conservador
"Considero que, mientras mis acciones no dañen directamente a terceros, el Estado no tiene derecho a intervenir en mi estilo de vida, lo que consumo o con quién me relaciono.",Liberal,Liberal-Conservador
"Preferiría un gobierno de “mano dura” que elimine la delincuencia, aunque limitara la independencia de poderes o ciertos derechos humanos.",Conservador,Liberal-Conservador
Preferiría que la educación sexual de los niños dependa exclusivamente de la familia y no del Estado (escuelas y centros de estudios).,Conservador,Liberal-Conservador
Se debería aplicar la pena de muerte en el Perú.,Conservador,Liberal-Conservador
Se debería encargar a los militares el control permanente del orden interno y el patrullaje de las calles ante la crisis de inseguridad.,Conservador,Liberal-Conservador
"Se debería reprimir inmediatamente las protestas, priorizando el órden público.",Conservador,Liberal-Conservador
Se debería permitir la interrupción voluntaria del embarazo por decisión libre de la mujer.,Liberal,Liberal-Conservador
"Considero que el Estado debe tener el rol principal en la economía, controlando los recursos estratégicos, garantizando servicios básicos, protección social y cuidado del medio ambiente, incluso si eso implica más impuestos empresariales y limitar la participación del sector privado.",Izquierda,Izquierda-Derecha
Considero que el Estado debe cobrar más impuestos a quienes más tienen para financiar programas sociales y obras en las zonas más pobres del país.,Izquierda,Izquierda-Derecha
"Considero que las grandes empresas deben pagar todos sus impuestos sin recibir beneficios especiales ni descuentos, para que el Estado tenga más dinero para obras y servicios públicos.",Izquierda,Izquierda-Derecha
"Preferiría que los recursos naturales del Perú (como el gas de Camisea, el oro y el cobre) sean manejados directamente por empresas del Estado en lugar de ser entregados a empresas privadas.",Izquierda,Izquierda-Derecha
"Considero que el Estado debería ser el principal encargado de administrar las pensiones en el Perú, en lugar de empresas privadas.",Izquierda,Izquierda-Derecha
"Considero que sectores como la electricidad, el gas y la minería deberían estar principalmente en manos de empresas privadas, y no del Estado.",Derecha,Izquierda-Derecha
"Se debería priorizar los proyectos mineros o extractivos que generan empleo e ingresos, aunque eso implique un mayor impacto en el medio ambiente.",Derecha,Izquierda-Derecha
"Considero que los servicios básicos (agua, luz, internet) deberían ser brindados solamente por empresas privadas (como Telefónica, Enel o Luz del Sur) y no por el Estado.",Derecha,Izquierda-Derecha
"Considero que, si el Congreso obstaculiza al Presidente, se justifica cerrarlo para avanzar.",Antisistema,Sistema-Antisistema
Considero que se necesitan cambios radicales en la policía para que el país mejore.,Antisistema,Sistema-Antisistema
Considero que para solucionar los problemas del país es necesario reemplazar totalmente la Constitución actual por una nueva.,Antisistema,Sistema-Antisistema
"Se debería prohibir que los políticos que ya han estado en el poder vuelvan a postular, para limpiar el sistema.",Antisistema,Sistema-Antisistema
Se debería reducir el sueldo de los congresistas para que solo personas con verdadera vocación de servicio ocupen esos cargos.,Antisistema,Sistema-Antisistema
"Se debería permitir que los mineros informales sigan operando mientras tramitan su formalización (REINFO), incluso si todavía no cumplen con todos los requisitos ambientales.",Sistema,Sistema-Antisistema
Considero que el asilo político (protección que un país otorga a una persona perseguida por razones políticas para que pueda vivir allí sin ser devuelta a su país) es un peligro para el sistema de justicia nacional.,Nacionalista,Nacionalista-Globalista
Considero que los TLC (tratados de libre comercio) son beneficiosos para el país aunque hagan que los productores nacionales compitan con empresas extranjeras,Globalista,Nacionalista-Globalista
El Estado debería restringir la extracción de recursos naturales (minería o energía) por parte de empresas extranjeras.,Nacionalista,Nacionalista-Globalista
Se debería entregar la nacionalidad peruana a los migrantes que ya están dentro del país.,Globalista,Nacionalista-Globalista
La ley peruana debería estar por encima de los acuerdos internacionales aunque esto implique abandonar organismos de derechos humanos.,Nacionalista,Nacionalista-Globalista
